Date and Time Run #1,Time (s) Run #1,Position (m) Run #1,Force (N) Run #1,Speed (mm/min) Run #1,Date and Time Run #2,Time (s) Run #2,Position (m) Run #2,Force (N) Run #2,Speed (mm/min) Run #2,Date and Time Run #3,Time (s) Run #3,Position (m) Run #3,Force (N) Run #3,Speed (mm/min) Run #3,Date and Time Run #4,Time (s) Run #4,Position (m) Run #4,Force (N) Run #4,Speed (mm/min) Run #4,Date and Time Run #5,Time (s) Run #5,Position (m) Run #5,Force (N) Run #5,Speed (mm/min) Run #5,Date and Time Run #6,Time (s) Run #6,Position (m) Run #6,Force (N) Run #6,Speed (mm/min) Run #6
03/04/2024 17:10:34,2.1,0,6,0,03/04/2024 17:11:11,2.1,0,10,0,03/04/2024 17:11:56,2.1,0,17,0,03/04/2024 17:12:41,2.1,0,18,0,03/04/2024 17:13:27,2.1,0,24,0,03/04/2024 17:14:13,2.1,0,21,0
03/04/2024 17:10:34,2.2,0,6,0,03/04/2024 17:11:11,2.2,0,10,0,03/04/2024 17:11:56,2.2,0,16,0,03/04/2024 17:12:41,2.2,0,18,0,03/04/2024 17:13:27,2.2,0,24,0,03/04/2024 17:14:13,2.2,0,20,0
03/04/2024 17:10:34,2.3,0,7,0,03/04/2024 17:11:11,2.3,0,9,0,03/04/2024 17:11:56,2.3,0,17,0,03/04/2024 17:12:41,2.3,0,18,0,03/04/2024 17:13:27,2.3,0,24,0,03/04/2024 17:14:13,2.3,0,21,0
03/04/2024 17:10:34,2.4,0,6,0,03/04/2024 17:11:11,2.4,0,9,0,03/04/2024 17:11:56,2.4,0,16,0,03/04/2024 17:12:41,2.4,0,18,0,03/04/2024 17:13:27,2.4,0,25,0,03/04/2024 17:14:13,2.4,0,21,0
03/04/2024 17:10:34,2.5,0,6,0,03/04/2024 17:11:11,2.5,0,9,0,03/04/2024 17:11:56,2.5,0,16,0,03/04/2024 17:12:41,2.5,0,18,0,03/04/2024 17:13:27,2.5,0,24,0,03/04/2024 17:14:13,2.5,0,20,0
03/04/2024 17:10:34,2.6,0,6,0,03/04/2024 17:11:11,2.6,0,9,0,03/04/2024 17:11:56,2.6,0,16,0,03/04/2024 17:12:41,2.6,0,18,0,03/04/2024 17:13:27,2.6,0,24,0,03/04/2024 17:14:13,2.6,0,21,0
03/04/2024 17:10:34,2.7,0,6,0,03/04/2024 17:11:11,2.7,0,9,0,03/04/2024 17:11:56,2.7,0,16,0,03/04/2024 17:12:41,2.7,0,18,0,03/04/2024 17:13:27,2.7,0,24,0,03/04/2024 17:14:13,2.7,0,21,0
03/04/2024 17:10:34,2.8,0,6,0,03/04/2024 17:11:11,2.8,0,9,0,03/04/2024 17:11:56,2.8,0,16,0,03/04/2024 17:12:41,2.8,0,17,0,03/04/2024 17:13:27,2.8,0,24,0,03/04/2024 17:14:13,2.8,0,20,0
03/04/2024 17:10:34,2.9,0,6,0,03/04/2024 17:11:11,2.9,0,9,0,03/04/2024 17:11:56,2.9,0,16,0,03/04/2024 17:12:41,2.9,0,18,0,03/04/2024 17:13:27,2.9,0,24,0,03/04/2024 17:14:13,2.9,0,20,0
03/04/2024 17:10:35,3,0,6,0,03/04/2024 17:11:12,3,0,9,0,03/04/2024 17:11:57,3,0,16,0,03/04/2024 17:12:42,3,0,18,0,03/04/2024 17:13:28,3,0,24,0,03/04/2024 17:14:14,3,0,20,0
