"Date and Time Run #1","Time (s) Run #1","Position (m) Run #1","Force (N) Run #1","Speed (mm/min) Run #1","Date and Time Run #2","Time (s) Run #2","Position (m) Run #2","Force (N) Run #2","Speed (mm/min) Run #2","Date and Time Run #3","Time (s) Run #3","Position (m) Run #3","Force (N) Run #3","Speed (mm/min) Run #3","Date and Time Run #4","Time (s) Run #4","Position (m) Run #4","Force (N) Run #4","Speed (mm/min) Run #4","Date and Time Run #5","Time (s) Run #5","Position (m) Run #5","Force (N) Run #5","Speed (mm/min) Run #5"
03/04/2024 05:17:02 pm,4.100,0.00000,3,0.00,03/04/2024 05:17:44 pm,4.100,0.00000,0,0.00,03/04/2024 05:18:27 pm,4.100,0.00000,0,0.00,03/04/2024 05:19:14 pm,4.100,0.00000,0,0.00,03/04/2024 05:19:55 pm,4.100,0.00000,0,0.00
03/04/2024 05:17:02 pm,4.200,0.00000,3,0.00,03/04/2024 05:17:44 pm,4.200,0.00000,0,0.00,03/04/2024 05:18:27 pm,4.200,0.00000,0,0.00,03/04/2024 05:19:14 pm,4.200,0.00000,0,0.00,03/04/2024 05:19:55 pm,4.200,0.00000,0,0.00
03/04/2024 05:17:02 pm,4.300,0.00000,3,0.00,03/04/2024 05:17:44 pm,4.300,0.00000,3,0.00,03/04/2024 05:18:27 pm,4.300,0.00000,1,0.00,03/04/2024 05:19:14 pm,4.300,0.00000,0,0.00,03/04/2024 05:19:55 pm,4.300,0.00000,0,0.00
03/04/2024 05:17:02 pm,4.400,0.00000,3,0.00,03/04/2024 05:17:44 pm,4.400,0.00000,7,0.00,03/04/2024 05:18:27 pm,4.400,0.00000,0,0.00,03/04/2024 05:19:14 pm,4.400,0.00000,0,0.00,03/04/2024 05:19:55 pm,4.400,0.00000,0,0.00
03/04/2024 05:17:02 pm,4.500,0.00000,3,0.00,03/04/2024 05:17:44 pm,4.500,0.00000,7,0.00,03/04/2024 05:18:27 pm,4.500,0.00000,0,0.00,03/04/2024 05:19:14 pm,4.500,0.00000,0,0.00,03/04/2024 05:19:55 pm,4.500,0.00000,0,0.00
03/04/2024 05:17:02 pm,4.600,0.00000,3,0.00,03/04/2024 05:17:44 pm,4.600,0.00000,8,0.00,03/04/2024 05:18:27 pm,4.600,0.00000,0,0.00,03/04/2024 05:19:14 pm,4.600,0.00000,0,0.00,03/04/2024 05:19:55 pm,4.600,0.00000,0,0.00
03/04/2024 05:17:02 pm,4.700,0.00000,3,0.00,03/04/2024 05:17:44 pm,4.700,0.00000,8,0.00,03/04/2024 05:18:27 pm,4.700,0.00000,0,0.00,03/04/2024 05:19:14 pm,4.700,0.00000,7,0.00,03/04/2024 05:19:55 pm,4.700,0.00000,0,0.00
03/04/2024 05:17:02 pm,4.800,0.00000,3,0.00,03/04/2024 05:17:44 pm,4.800,0.00000,7,0.00,03/04/2024 05:18:27 pm,4.800,0.00000,0,0.00,03/04/2024 05:19:14 pm,4.800,0.00000,12,0.00,03/04/2024 05:19:55 pm,4.800,0.00000,0,0.00
03/04/2024 05:17:02 pm,4.900,0.00000,3,0.00,03/04/2024 05:17:44 pm,4.900,0.00000,7,0.00,03/04/2024 05:18:27 pm,4.900,0.00000,0,0.00,03/04/2024 05:19:14 pm,4.900,0.00000,14,0.00,03/04/2024 05:19:55 pm,4.900,0.00000,0,0.00
03/04/2024 05:17:03 pm,5.000,0.00000,3,0.00,03/04/2024 05:17:45 pm,5.000,0.00000,7,0.00,03/04/2024 05:18:28 pm,5.000,0.00000,0,0.00,03/04/2024 05:19:15 pm,5.000,0.00000,14,0.00,03/04/2024 05:19:56 pm,5.000,0.00000,0,0.00
03/04/2024 05:17:03 pm,5.100,0.00000,-1,0.00,03/04/2024 05:17:45 pm,5.100,0.00000,7,0.00,03/04/2024 05:18:28 pm,5.100,0.00000,0,0.00,03/04/2024 05:19:15 pm,5.100,0.00000,13,0.00,03/04/2024 05:19:56 pm,5.100,0.00000,0,0.00
03/04/2024 05:17:03 pm,5.200,0.00000,-1,0.00,03/04/2024 05:17:45 pm,5.200,0.00000,7,0.00,03/04/2024 05:18:28 pm,5.200,0.00000,1,0.00,03/04/2024 05:19:15 pm,5.200,0.00000,13,0.00,03/04/2024 05:19:56 pm,5.200,0.00000,0,0.00
03/04/2024 05:17:03 pm,5.300,0.00000,0,0.00,03/04/2024 05:17:45 pm,5.300,0.00000,7,0.00,03/04/2024 05:18:28 pm,5.300,0.00000,0,0.00,03/04/2024 05:19:15 pm,5.300,0.00000,13,0.00,03/04/2024 05:19:56 pm,5.300,0.00000,0,0.00
03/04/2024 05:17:03 pm,5.400,0.00000,0,0.00,03/04/2024 05:17:45 pm,5.400,0.00000,7,0.00,03/04/2024 05:18:28 pm,5.400,0.00000,0,0.00,03/04/2024 05:19:15 pm,5.400,0.00000,13,0.00,03/04/2024 05:19:56 pm,5.400,0.00000,0,0.00
03/04/2024 05:17:03 pm,5.500,0.00000,0,0.00,03/04/2024 05:17:45 pm,5.500,0.00000,7,0.00,03/04/2024 05:18:28 pm,5.500,0.00000,0,0.00,03/04/2024 05:19:15 pm,5.500,0.00000,13,0.00,03/04/2024 05:19:56 pm,5.500,0.00000,0,0.00
03/04/2024 05:17:03 pm,5.600,0.00000,-1,0.00,03/04/2024 05:17:45 pm,5.600,0.00000,7,0.00,03/04/2024 05:18:28 pm,5.600,0.00000,1,0.00,03/04/2024 05:19:15 pm,5.600,0.00000,13,0.00,03/04/2024 05:19:56 pm,5.600,0.00000,0,0.00
