SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Test1,1-Stretch,0.000,53.839,0,0.045
Test1,1-Stretch,0.067,53.839,0,0.002
Test1,1-Stretch,0.133,53.839,0,-0.041
Test1,1-Stretch,0.200,53.839,0,0.002
Test1,1-Stretch,0.267,53.839,0,0.024
Test1,1-Stretch,0.333,53.839,0,0.045
Test1,1-Stretch,0.400,53.839,0,0.024
Test1,1-Stretch,0.467,53.839,0,-0.041
Test1,1-Stretch,0.533,53.839,0,0.002
Test1,1-Stretch,0.600,53.839,0,0.045
Test1,1-Stretch,0.667,53.839,0,0.024
Test1,1-Stretch,0.733,53.839,0,-0.041
Test1,1-Stretch,0.800,53.839,0,-0.019
Test1,1-Stretch,0.867,53.839,0,0.002
Test1,1-Stretch,0.933,53.839,0,0.045
Test1,1-Stretch,1.000,53.839,0,0.024
Test1,1-Stretch,1.067,53.839,0,-0.019
Test1,1-Stretch,1.133,53.839,0,-0.019
Test1,1-Stretch,1.200,53.839,0,0.024
Test1,1-Stretch,1.267,53.839,0,0.045
Test1,1-Stretch,1.333,53.839,0,0.002
Test1,1-Stretch,1.400,53.839,0,-0.019
Test1,1-Stretch,1.467,53.839,0,-0.019
Test1,1-Stretch,1.533,53.839,0,0.024
Test1,1-Stretch,1.600,53.839,0,0.045
Test1,1-Stretch,1.667,53.839,0,0.045
Test1,1-Stretch,1.733,53.839,0,-0.019
Test1,1-Stretch,1.800,53.839,0,0.002
Test1,1-Stretch,1.867,53.839,0,0.024
Test1,1-Stretch,1.933,53.839,0,0.045
Test1,1-Stretch,2.000,53.839,0,0.002
Test1,1-Stretch,2.067,53.839,0,-0.041
Test1,1-Stretch,2.133,53.839,0,0.002
Test1,1-Stretch,2.200,53.839,0,0.045
Test1,1-Stretch,2.267,53.839,0,0.045
Test1,1-Stretch,2.333,53.839,0,0.024
Test1,1-Stretch,2.400,53.839,0,-0.019
Test1,1-Stretch,2.467,53.839,0,0.002
Test1,1-Stretch,2.533,53.839,0,0.045
Test1,1-Stretch,2.600,53.839,0,0.024
Test1,1-Stretch,2.667,53.839,0,-0.041
Test1,1-Stretch,2.733,53.839,0,-0.019
Test1,1-Stretch,2.800,53.839,0,0.024
Test1,1-Stretch,2.867,53.839,0,0.045
Test1,1-Stretch,2.933,53.839,0,0.024
Test1,1-Stretch,3.000,53.839,0,-0.041
Test1,1-Stretch,3.067,53.839,0,-0.019
Test1,1-Stretch,3.133,53.839,0,0.024
Test1,1-Stretch,3.200,53.839,0,0.045
Test1,1-Stretch,3.267,53.839,0,-0.019
Test1,1-Stretch,3.333,53.839,0,-0.041
Test1,1-Stretch,3.400,53.839,0,0.002
Test1,1-Stretch,3.467,53.839,0,0.024
Test1,1-Stretch,3.533,53.839,0,0.045
Test1,1-Stretch,3.600,53.839,0,0.002
Test1,1-Stretch,3.667,53.839,0,-0.041
Test1,1-Stretch,3.733,53.839,0,0.002
Test1,1-Stretch,3.800,53.839,0,0.045
Test1,1-Stretch,3.867,53.839,0,0.045
Test1,1-Stretch,3.933,53.839,0,0.002
Test1,1-Stretch,4.000,53.839,0,-0.019
Test1,1-Stretch,4.067,53.839,0,0.002
Test1,1-Stretch,4.133,53.839,0,0.045
Test1,1-Stretch,4.200,53.839,0,0.024
Test1,1-Stretch,4.267,53.839,0,-0.062
Test1,1-Stretch,4.333,53.839,0,-0.019
Test1,1-Stretch,4.400,53.839,0,0.024
Test1,1-Stretch,4.467,53.839,0,0.045
Test1,1-Stretch,4.533,53.839,0,0.045
Test1,1-Stretch,4.600,53.839,0,-0.019
Test1,1-Stretch,4.667,53.839,0,-0.019
Test1,1-Stretch,4.733,53.839,0,0.024
Test1,1-Stretch,4.800,53.839,0,0.045
Test1,1-Stretch,4.867,53.839,0,0.002
Test1,1-Stretch,4.933,53.839,0,-0.041
Test1,1-Stretch,5.000,53.839,0,0.002
Test1,1-Stretch,5.067,53.839,0,0.024
Test1,1-Stretch,5.133,53.839,0,0.045
Test1,1-Stretch,5.200,53.839,0,-0.019
Test1,1-Stretch,5.267,53.839,0,-0.041
Test1,1-Stretch,5.333,53.839,0,0.002
Test1,1-Stretch,5.400,53.839,0,0.045
Test1,1-Stretch,5.467,53.839,0,0.045
Test1,1-Stretch,5.533,53.839,0,-0.019
Test1,1-Stretch,5.600,53.839,0,-0.019
Test1,1-Stretch,5.667,53.839,0,0.002
Test1,1-Stretch,5.733,53.839,0,0.045
Test1,1-Stretch,5.800,53.839,0,0.024
Test1,1-Stretch,5.867,53.839,0,-0.041
Test1,1-Stretch,5.933,53.839,0,-0.019
Test1,1-Stretch,6.000,53.839,0,0.024
Test1,1-Stretch,6.067,53.839,0,0.045
Test1,1-Stretch,6.133,53.839,0,0.024
Test1,1-Stretch,6.200,53.839,0,-0.041
Test1,1-Stretch,6.267,53.839,0,-0.019
Test1,1-Stretch,6.333,53.839,0,0.024
Test1,1-Stretch,6.400,53.839,0,0.045
Test1,1-Stretch,6.467,53.839,0,0.002
Test1,1-Stretch,6.533,53.839,0,-0.041
Test1,1-Stretch,6.600,53.839,0,0.002
Test1,1-Stretch,6.667,53.839,0,0.024
Test1,1-Stretch,6.733,53.839,0,0.045
Test1,1-Stretch,6.800,53.839,0,0.002
Test1,1-Stretch,6.867,53.839,0,-0.041
Test1,1-Stretch,6.933,53.839,0,0.002
Test1,1-Stretch,7.000,53.839,0,0.045
Test1,1-Stretch,7.067,53.839,0,0.045
Test1,1-Stretch,7.133,53.839,0,0.002
Test1,1-Stretch,7.200,53.839,0,-0.019
Test1,1-Stretch,7.267,53.839,0,0.002
Test1,1-Stretch,7.333,53.839,0,0.045
Test1,1-Stretch,7.400,53.839,0,0.024
Test1,1-Stretch,7.467,53.839,0,-0.019
Test1,1-Stretch,7.533,53.839,0,-0.019
Test1,1-Stretch,7.600,53.839,0,0.024
Test1,1-Stretch,7.667,53.839,0,0.045
Test1,1-Stretch,7.733,53.839,0,0.024
Test1,1-Stretch,7.800,53.839,0,-0.041
Test1,1-Stretch,7.867,53.839,0,-0.019
Test1,1-Stretch,7.933,53.839,0,0.024
Test1,1-Stretch,8.000,53.839,0,0.045
Test1,1-Stretch,8.067,53.839,0,0.002
Test1,1-Stretch,8.133,53.839,0,-0.041
Test1,1-Stretch,8.200,53.839,0,0.002
Test1,1-Stretch,8.267,53.839,0,0.024
Test1,1-Stretch,8.333,53.839,0,0.045
Test1,1-Stretch,8.400,53.839,0,0.002
Test1,1-Stretch,8.467,53.839,0,-0.041
Test1,1-Stretch,8.533,53.839,0,0.002
Test1,1-Stretch,8.600,53.839,0,0.045
Test1,1-Stretch,8.667,53.839,0,0.045
Test1,1-Stretch,8.733,53.839,0,-0.019
Test1,1-Stretch,8.800,53.839,0,-0.019
Test1,1-Stretch,8.867,53.839,0,0.002
Test1,1-Stretch,8.933,53.839,0,0.045
Test1,1-Stretch,9.000,53.839,0,0.045
Test1,1-Stretch,9.067,53.839,0,-0.041
Test1,1-Stretch,9.133,53.839,0,-0.019
Test1,1-Stretch,9.200,53.839,0,0.024
Test1,1-Stretch,9.267,53.839,0,0.045
Test1,1-Stretch,9.333,53.839,0,0.024
Test1,1-Stretch,9.400,53.839,0,-0.041
Test1,1-Stretch,9.467,53.839,0,-0.019
Test1,1-Stretch,9.533,53.839,0,0.024
Test1,1-Stretch,9.600,53.839,0,0.045
Test1,1-Stretch,9.667,53.839,0,0.024
Test1,1-Stretch,9.733,53.839,0,-0.019
Test1,1-Stretch,9.800,53.839,0,0.002
Test1,1-Stretch,9.867,53.839,0,0.024
